key;source;destination;count
('IN', 'US');IN;US;29
('IN', 'DE');IN;DE;36
('IN', 'BE');IN;BE;31
('IN', 'IE');IN;IE;31
('US', 'DK');US;DK;111
('DE', 'DK');DE;DK;111
('BE', 'RU');BE;RU;22
('BE', 'DK');BE;DK;73
('RU', 'NL');RU;NL;61
('RU', 'GB');RU;GB;20
('RU', 'DK');RU;DK;8
('RU', 'IE');RU;IE;19
('NL', 'DK');NL;DK;101
('GB', 'DK');GB;DK;55
('DK', 'IE');DK;IE;45
('IT', 'US');IT;US;76
('IT', 'IE');IT;IE;42
('ES', 'US');ES;US;65
('ES', 'DE');ES;DE;79
('ES', 'NL');ES;NL;15
('ES', 'DK');ES;DK;14
('ES', 'CA');ES;CA;8
('ES', 'BE');ES;BE;36
('DK', 'CA');DK;CA;22
('DK', 'BE');DK;BE;31
('HK', 'IE');HK;IE;20
('IT', 'BE');IT;BE;26
('FR', 'CH');FR;CH;15
('CH', 'US');CH;US;33
('CH', 'DE');CH;DE;49
('CH', 'NL');CH;NL;27
('CH', 'IE');CH;IE;45
('CH', 'GB');CH;GB;21
('CZ', 'US');CZ;US;49
('CZ', 'IE');CZ;IE;40
('CZ', 'PL');CZ;PL;8
('CZ', 'BE');CZ;BE;48
('DE', 'PL');DE;PL;13
('IE', 'PL');IE;PL;8
('US', 'FI');US;FI;39
('DE', 'FI');DE;FI;33
('NL', 'FI');NL;FI;8
('GB', 'FI');GB;FI;8
('US', 'ES');US;ES;8
('ES', 'IE');ES;IE;38
('ES', 'FR');ES;FR;20
('BE', 'FR');BE;FR;108
('US', 'TR');US;TR;14
('DE', 'TR');DE;TR;14
('TR', 'RU');TR;RU;20
('TR', 'BE');TR;BE;38
('TR', 'NL');TR;NL;13
('RU', 'BE');RU;BE;37
('US', 'CH');US;CH;67
('US', 'LU');US;LU;8
('DE', 'LU');DE;LU;8
('IE', 'LU');IE;LU;8
('LU', 'NL');LU;NL;8
('LU', 'BE');LU;BE;8
('FR', 'HK');FR;HK;28
('BE', 'HK');BE;HK;58
('GB', 'HK');GB;HK;28
('GB', 'FR');GB;FR;114
('US', 'PT');US;PT;14
('DE', 'PT');DE;PT;14
('GB', 'PT');GB;PT;7
('PT', 'BE');PT;BE;14
('SG', 'IE');SG;IE;40
('SG', 'BE');SG;BE;51
('SG', 'FR');SG;FR;18
('FR', 'SE');FR;SE;22
('BE', 'SE');BE;SE;24
('NL', 'SE');NL;SE;36
('GB', 'SE');GB;SE;35
('JP', 'NL');JP;NL;13
('JP', 'DE');JP;DE;38
('BE', 'US');BE;US;68
('FR', 'RU');FR;RU;33
('CN', 'HK');CN;HK;23
('CN', 'US');CN;US;12
('HK', 'US');HK;US;18
('HK', 'CN');HK;CN;11
('US', 'AU');US;AU;32
('DE', 'AU');DE;AU;32
('AU', 'IE');AU;IE;18
('AU', 'BE');AU;BE;12
('SE', 'US');SE;US;30
('SE', 'IE');SE;IE;39
('IT', 'NL');IT;NL;24
('IT', 'FR');IT;FR;19
('BE', 'AU');BE;AU;19
('IE', 'DK');IE;DK;78
('FR', 'DK');FR;DK;37
('SG', 'US');SG;US;22
('SG', 'DE');SG;DE;32
('SG', 'NL');SG;NL;12
('IE', 'FI');IE;FI;13
('BE', 'FI');BE;FI;7
('RU', 'FI');RU;FI;7
('BG', 'FI');BG;FI;6
('FI', 'BE');FI;BE;12
('SE', 'GB');SE;GB;16
('SE', 'NL');SE;NL;22
('SI', 'DE');SI;DE;7
('SI', 'BE');SI;BE;7
('US', 'UA');US;UA;12
('NL', 'UA');NL;UA;12
('GB', 'UA');GB;UA;12
('DE', 'UA');DE;UA;12
('SE', 'FR');SE;FR;18
('SE', 'UA');SE;UA;12
('SE', 'RU');SE;RU;7
('FR', 'UA');FR;UA;7
('UA', 'RU');UA;RU;7
('HK', 'NL');HK;NL;12
('HK', 'GB');HK;GB;37
('AU', 'NL');AU;NL;7
('AU', 'US');AU;US;32
('NO', 'US');NO;US;13
('NO', 'DE');NO;DE;13
('NO', 'IE');NO;IE;7
('NO', 'BE');NO;BE;7
('JP', 'IE');JP;IE;25
('TR', 'DE');TR;DE;49
('TR', 'IE');TR;IE;24
('TR', 'US');TR;US;30
('HK', 'DE');HK;DE;13
('UA', 'IE');UA;IE;12
('UA', 'DE');UA;DE;7
('UA', 'BE');UA;BE;7
('DK', 'DE');DK;DE;32
('DK', 'US');DK;US;18
('IE', 'PT');IE;PT;7
('PT', 'FR');PT;FR;7
('AU', 'DE');AU;DE;32
('IE', 'SG');IE;SG;36
('DK', 'GB');DK;GB;19
('DE', 'CH');DE;CH;51
('CH', 'BE');CH;BE;25
('JP', 'BE');JP;BE;25
('US', 'EE');US;EE;7
('DE', 'EE');DE;EE;7
('EE', 'NL');EE;NL;7
('EE', 'IE');EE;IE;7
('EE', 'RU');EE;RU;7
('EE', 'BE');EE;BE;7
('MY', 'DE');MY;DE;7
('MY', 'US');MY;US;7
('MY', 'NL');MY;NL;7
('MY', 'IE');MY;IE;7
('MY', 'BE');MY;BE;7
('PT', 'DE');PT;DE;6
('PT', 'US');PT;US;6
('PT', 'IE');PT;IE;6
('PT', 'NL');PT;NL;6
('TW', 'DE');TW;DE;12
