key;source;destination;count
('LU', 'BE');LU;BE;8
('FR', 'HK');FR;HK;28
('BE', 'HK');BE;HK;58
('GB', 'HK');GB;HK;28
('GB', 'FR');GB;FR;114
('US', 'PT');US;PT;14
('DE', 'PT');DE;PT;14
('GB', 'PT');GB;PT;7
('PT', 'BE');PT;BE;14
('SG', 'IE');SG;IE;47
('SG', 'BE');SG;BE;51
('SG', 'FR');SG;FR;18
('FR', 'SE');FR;SE;22
('BE', 'SE');BE;SE;24
('NL', 'SE');NL;SE;36
('GB', 'SE');GB;SE;35
('ID', 'DE');ID;DE;19
('ID', 'US');ID;US;13
('JP', 'NL');JP;NL;13
('JP', 'DE');JP;DE;38
('US', 'CN');US;CN;30
('HK', 'CN');HK;CN;18
('BE', 'US');BE;US;68
('FR', 'RU');FR;RU;33
('CN', 'HK');CN;HK;29
('CN', 'US');CN;US;18
('HK', 'US');HK;US;18
('US', 'AU');US;AU;32
('DE', 'AU');DE;AU;32
('AU', 'IE');AU;IE;18
('AU', 'BE');AU;BE;12
('PT', 'DE');PT;DE;13
('SE', 'US');SE;US;30
('SE', 'IE');SE;IE;39
('IT', 'NL');IT;NL;30
('IT', 'FR');IT;FR;25
('BE', 'AU');BE;AU;19
('IE', 'DK');IE;DK;78
('FR', 'DK');FR;DK;37
('SG', 'US');SG;US;22
('SG', 'DE');SG;DE;45
('SG', 'NL');SG;NL;12
('IE', 'FI');IE;FI;13
('BE', 'FI');BE;FI;7
('RU', 'FI');RU;FI;7
('BG', 'FI');BG;FI;6
('FI', 'BE');FI;BE;12
('SE', 'GB');SE;GB;16
('SE', 'NL');SE;NL;22
('SI', 'DE');SI;DE;7
('SI', 'BE');SI;BE;7
('US', 'UA');US;UA;19
('NL', 'UA');NL;UA;12
('GB', 'UA');GB;UA;12
('DE', 'UA');DE;UA;12
('SE', 'FR');SE;FR;18
('SE', 'UA');SE;UA;12
('SE', 'RU');SE;RU;7
('FR', 'UA');FR;UA;7
('UA', 'RU');UA;RU;7
('HK', 'NL');HK;NL;12
('HK', 'GB');HK;GB;37
('AU', 'NL');AU;NL;7
('AU', 'US');AU;US;51
('NO', 'US');NO;US;20
('NO', 'DE');NO;DE;20
('NO', 'IE');NO;IE;7
('NO', 'BE');NO;BE;7
('AU', 'DE');AU;DE;44
('JP', 'IE');JP;IE;25
('TR', 'DE');TR;DE;49
('TR', 'IE');TR;IE;24
('TR', 'US');TR;US;30
('HK', 'DE');HK;DE;13
('UA', 'IE');UA;IE;12
('UA', 'DE');UA;DE;14
('UA', 'BE');UA;BE;7
('DK', 'DE');DK;DE;32
('DK', 'US');DK;US;18
('IE', 'PT');IE;PT;7
('PT', 'FR');PT;FR;7
('IE', 'SG');IE;SG;36
('DK', 'GB');DK;GB;19
('DE', 'CH');DE;CH;51
('CH', 'BE');CH;BE;25
('JP', 'BE');JP;BE;25
('US', 'EE');US;EE;7
('DE', 'EE');DE;EE;7
('EE', 'NL');EE;NL;7
('EE', 'IE');EE;IE;7
('EE', 'RU');EE;RU;7
('EE', 'BE');EE;BE;7
('NO', 'NL');NO;NL;7
('UA', 'NL');UA;NL;7
('VN', 'DE');VN;DE;13
('VN', 'US');VN;US;13
('VN', 'IE');VN;IE;13
('MY', 'DE');MY;DE;7
('MY', 'US');MY;US;7
('MY', 'NL');MY;NL;7
('MY', 'IE');MY;IE;7
('MY', 'BE');MY;BE;7
('PT', 'US');PT;US;6
('PT', 'IE');PT;IE;6
('PT', 'NL');PT;NL;6
('TW', 'DE');TW;DE;12
('TW', 'BE');TW;BE;12
('CA', 'CH');CA;CH;32
('IE', 'CH');IE;CH;26
('BE', 'CH');BE;CH;26
('GB', 'CH');GB;CH;19
('ES', 'HK');ES;HK;6
('DK', 'HK');DK;HK;12
('CZ', 'NL');CZ;NL;11
('CH', 'DK');CH;DK;7
('CH', 'CA');CH;CA;7
('GB', 'CA');GB;CA;21
('NL', 'CH');NL;CH;13
('US', 'JP');US;JP;7
('DE', 'JP');DE;JP;7
('IT', 'GB');IT;GB;13
('US', 'IN');US;IN;13
('AU', 'VG');AU;VG;19
('RU', 'US');RU;US;25
('US', 'BR');US;BR;6
('DE', 'BR');DE;BR;6
('BE', 'BR');BE;BR;6
('BR', 'IE');BR;IE;6
('DE', 'IR');DE;IR;7
('FR', 'ES');FR;ES;18
('FR', 'SG');FR;SG;12
('ES', 'GB');ES;GB;6
('ES', 'SG');ES;SG;6
('CN', 'DE');CN;DE;12
('JP', 'FR');JP;FR;6
('JP', 'SG');JP;SG;6
('US', 'DZ');US;DZ;6
('DE', 'DZ');DE;DZ;6
('DZ', 'IE');DZ;IE;6
('VN', 'BE');VN;BE;6
('MK', 'DE');MK;DE;6
('MK', 'NL');MK;NL;6
('MK', 'IE');MK;IE;6
('MK', 'US');MK;US;6
('MK', 'GB');MK;GB;6
('MK', 'FR');MK;FR;6
('MK', 'DK');MK;DK;6
('MK', 'BE');MK;BE;6
('ID', 'NL');ID;NL;6
('ID', 'BE');ID;BE;6
('ID', 'IE');ID;IE;6
('ID', 'SG');ID;SG;6
('HK', 'BE');HK;BE;6
('HK', 'SG');HK;SG;12
('DE', 'CN');DE;CN;6
('IE', 'CN');IE;CN;6
('BE', 'CN');BE;CN;6
('CN', 'SG');CN;SG;6
('BE', 'TR');BE;TR;6
('FI', 'DE');FI;DE;12
('IT', 'DK');IT;DK;6
('AT', 'DE');AT;DE;12
('AT', 'US');AT;US;6
('AT', 'BE');AT;BE;6
('KR', 'IE');KR;IE;6
('US', 'CR');US;CR;6
('CR', 'DE');CR;DE;6
('CR', 'NL');CR;NL;6
('IE', 'AU');IE;AU;12
('BE', 'VG');BE;VG;11
('FI', 'US');FI;US;6
('FI', 'IE');FI;IE;12
('DK', 'NL');DK;NL;5
('BG', 'FR');BG;FR;12
('US', 'NZ');US;NZ;6
('US', 'GR');US;GR;6
('NL', 'NZ');NL;NZ;6
('NL', 'GR');NL;GR;6
('NL', 'VG');NL;VG;6
('DE', 'NZ');DE;NZ;6
('DE', 'GR');DE;GR;6
('CA', 'NZ');CA;NZ;6
('CA', 'GR');CA;GR;6
('CA', 'VG');CA;VG;6
('GB', 'NZ');GB;NZ;6
('GB', 'GR');GB;GR;6
('GB', 'VG');GB;VG;6
