amarugujarat.com;['104.27.151.115', '104.27.150.115'];[300, 300];['13335', '15169', '2635', '15169', '15169', '15169', '13335', '2635', '33438', '2635', '2635', '15169', '15169', '15169', '15169', '15169'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::681b:9773', '2a00:1450:4001:808::200e', '192.0.77.37', '2a00:1450:4001:819::200a', '2a00:1450:4001:81c::2008', '2a00:1450:4001:81b::2002', '2606:4700::6810:cea5', '192.0.77.2', '151.139.242.29', '192.0.77.32', '192.0.76.3', '2a00:1450:4001:81a::2003', '2a00:1450:4001:821::2002', '2a00:1450:4001:818::2002', '2a00:1450:4001:81d::2002', '2a00:1450:4001:814::2002'];[1422597416.0, 1580363816.0, 1550507382.0];0
clodomirovilaunsihuay.weebly.com;[b'pages-wildcard.weebly.com.', '199.34.228.53', '199.34.228.54'];[86400, 251, 251];['27647', '54113', '15169', '15169', '15169', '15169', '32934', '15133', '16509'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['199.34.228.54', '2a04:4e42::302', '2a00:1450:4001:81f::200a', '2a00:1450:4001:81a::200a', '2a00:1450:4001:824::2003', '2a00:1450:4001:81e::2008', '2a03:2880:f01c:216:face:b00c:0:3', '2606:2800:234:59:254c:406:2366:268c', '52.43.248.95'];[1143584707.0, 1616963107.0, 1477059397.0];0
host-tracker.com;[b'ht.cloudapp.net.', '65.52.225.100'];[1800, 60];['8075', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '54113', '13335', '15169', '15169', '13238', '174'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'RU', 'US'];['65.52.225.100', '2a00:1450:4001:80b::2004', '2a00:1450:4001:825::2008', '172.217.16.194', '2a00:1450:4001:820::2008', '2a00:1450:4001:809::2003', '2a00:1450:4001:817::2003', '2a00:1450:4001:81f::2002', '2a00:1450:4001:824::200e', '2a04:4e42::621', '2606:4700:20::6819:8219', '2a00:1450:4001:808::2003', '2a00:1450:400c:c0c::9c', '2a02:6b8::1:119', '149.5.244.164'];[1085799982.0, 1611741599.0, 1548700950.0];0
movenowthinklater.com;['2606:4700:30::681c:1956', '2606:4700:30::681c:1856'];[300, 300];['13335', '13335', '15169'];['US', 'US', 'US'];['2606:4700:30::681c:1856', '2606:4700:30::681c:a6f', '2a00:1450:4001:81a::200e'];[1347978901.0, 1600439701.0, 1539170966.0];0
dupont.com;[b'prod-www-dupont-com.azureedge.net.', b'prod-www-dupont-com.ec.azureedge.net.', b'scdn1.wpc.6c7bf.iotacdn.net.', b'sa11gl.wpc.iotacdn.net.', '152.195.133.133'];[900, 1800, 3600, 3600, 3600];['12008', '15133', '33438', '16625', '16509', '16509', '15169', '20940', '20940', '15224', '15224', '32934', '54825', '16625', '15169', '15224', '16509', '54825', '15169', '15169', '15169', '32934', '20940', '15169', '15169', '14413', '14413', '20940', '15169', '54825'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'EU', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'EU', 'US', 'US', 'US', 'US', 'EU', 'US', 'US'];['204.74.99.100', '152.195.133.133', '23.111.9.35', '2.18.232.23', '54.154.86.186', '63.35.167.217', '2a00:1450:4001:81d::2008', '104.109.87.116', '2.16.186.56', '66.117.29.225', '66.117.28.86', '2a03:2880:f01c:216:face:b00c:0:3', '147.75.205.49', '2.18.232.176', '172.217.22.98', '66.117.29.3', '54.72.143.230', '147.75.83.1', '2a00:1450:4001:824::2002', '2a00:1450:4001:81e::2004', '2a00:1450:4001:816::2003', '2a03:2880:f11c:8083:face:b00c:0:25de', '2a02:26f0:7b:880::25ea', '172.217.16.166', '2a00:1450:4001:819::2002', '2a05:f500:11:101::b93f:9005', '2620:109:c002::6cae:a0a', '184.31.90.134', '172.217.23.166', '147.75.204.215'];[554346000.0, 1627261200.0, 1446653504.0];0
qgiv.com;['159.203.104.13'];[7200];['14061', '20940', '16625', '15169', '15169', '15169', '15169', '54113', '54825', '32934', '13335', '15133', '16625', '15169', '13414', '15169', '15169', '15169', '13414', '54825', '53580', '54825', '20940', '15169', '32934', '14618'];['US', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'EU', 'US', 'US', 'US'];['159.203.104.13', '2a02:26f0:6c00:181::13b8', '2.20.160.99', '2a00:1450:4001:817::2008', '2a00:1450:4001:808::200a', '2a00:1450:4001:819::200e', '172.217.22.98', '151.101.36.157', '147.75.83.23', '2a03:2880:f02d:12:face:b00c:0:3', '2606:4700::6812:efe5', '93.184.220.178', '104.111.251.133', '2a00:1450:4001:81a::2002', '104.244.42.69', '2a00:1450:400c:c02::9c', '2a00:1450:4001:806::2004', '2a00:1450:4001:81f::2003', '104.244.42.131', '147.75.83.1', '192.28.144.124', '147.75.83.82', '2a02:26f0:6c00:19f::19fd', '2a00:1450:4001:809::2003', '2a03:2880:f12d:83:face:b00c:0:25de', '3.94.242.161'];[1165675870.0, 1639061470.0, 1535774960.0];0
momskitchen.se;['216.185.152.157'];[3600];['32400', '15169', '15169', '14618', '15169', '15169'];['US', 'US', 'US', 'US', 'US', 'US'];['216.185.152.157', '130.211.46.196', '2a00:1450:4001:808::200a', '34.199.22.159', '35.241.16.116', '2a00:1450:4001:81c::2003'];[1397595600.0, 1586984400.0, 1555189200.0];0
mrmemory.co.uk;['2606:4700:10::6814:360b', '2606:4700:10::6814:350b'];[300, 300];['13335', '20940', '13335', '15169', '15169', '15169', '8068', '15169', '15169', '15169', '15169', '54825', '16625', '54825', '54825'];['US', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:10::6814:360b', '184.30.214.88', '2606:4700:10::6814:b944', '2a00:1450:4001:81b::2008', '2a00:1450:4001:81d::200e', '172.217.22.34', '2620:1ec:c11::200', '2a00:1450:4001:816::2002', '2a00:1450:400c:c00::9d', '2a00:1450:4001:809::2004', '2a00:1450:4001:806::2003', '147.75.81.98', '23.210.248.44', '147.75.83.23', '147.75.205.43'];[919375200.0, 1582063200.0, 1553032800.0];0
mathspage.com;[b'mathspage.com.', '185.31.240.216'];[3600, 3600];['49604'];['EE'];['185.31.240.216'];[1458469614.0, 1584700014.0, 1550461120.0];0
radthadtheman2.weebly.com;[b'pages-wildcard.weebly.com.', '199.34.228.53', '199.34.228.54'];[86400, 900, 900];['27647', '15169', '54113', '15169', '15169', '15169'];['US', 'US', 'US', 'US', 'US', 'US'];['199.34.228.53', '2a00:1450:4001:817::200a', '2a04:4e42::302', '2a00:1450:4001:815::200a', '2a00:1450:4001:816::2003', '2a00:1450:4001:820::2008'];[1143584707.0, 1616963107.0, 1477059397.0];0
