,resolutions_count,subdomains_count,dns_records_count,https_validity,ssl_exists
abcoeur.com,2.0,12.0,9.0,1573393818,1
abcvisiteurs.com,4.0,5.0,10.0,1573734489,1
abdulhadikhalaf.wordpress.com,2.0,0.0,0.0,43200,0
abdwap2.com,8.0,18.0,6.0,1598486399,1
abema.tv,7.0,100.0,17.0,1572533940,1
abgapparelretail-my.sharepoint.com,1.0,0.0,5.0,1583530503,1
abmx.com,3.0,2.0,9.0,1573129842,1
abnews24.com,13.0,3.0,8.0,1582675199,1
abogadosbo.com,4.0,6.0,0.0,43200,0
abola.pt,1.0,24.0,6.0,1613260799,1
aboluowang.com,9.0,100.0,28.0,43200,0
about.google,1.0,1.0,8.0,1573488603,1
aboutairportparking.com,14.0,5.0,14.0,1578398400,1
abplive.in,57.0,72.0,13.0,1591272000,1
abrarnews.com,3.0,6.0,6.0,43200,0
abril.com.br,3.0,100.0,20.0,1572642029,1
abs-cbn.com,4.0,100.0,21.0,1611565333,1
absolut.com,248.0,26.0,18.0,1593777600,1
abv.bg,1.0,100.0,9.0,1615723200,1
academia.edu,10.0,100.0,14.0,1571529599,1
academic.ru,6.0,100.0,17.0,1614556799,1
academie-medecine.fr,1.0,8.0,6.0,43200,0
accelerateworld.co.in,2.0,2.0,6.0,1574743076,1
accesso.com,8.0,100.0,12.0,1599858729,1
accredited-online-university.net,2.0,0.0,0.0,43200,0
accupass.com,3.0,86.0,18.0,1593999901,1
accurate.in,3.0,7.0,13.0,1581465599,1
acordesynotas.com,1.0,3.0,6.0,43200,0
acraauto.com,1.0,3.0,6.0,1568248687,1
actcontractorsforms.com,2.0,1.0,7.0,43200,0
acuvue.com,9.0,33.0,10.0,1578614399,1
adalasneedodirdop.com,1.0,16.0,4.0,43200,0
adaminc.ca,1.0,2.0,0.0,43200,0
adata.org,4.0,3.0,6.0,1611359999,1
adbetnet.com,3.0,65.0,13.0,1583539199,1
adcaircargo.com,1.0,1.0,7.0,1591660799,1
adda247.com,69.0,50.0,23.0,1601160051,1
addic7ed.com,3.0,10.0,10.0,1567948191,1
addroplet.com,11.0,2.0,8.0,1585656000,1
addtoany.com,12.0,4.0,22.0,1578527999,1
adexchangegate.com,2.0,1.0,6.0,1599177599,1
adf.ly,26.0,15.0,11.0,1571356799,1
adhoc2.net,57.0,6.0,4.0,43200,0
adidas.com,1.0,100.0,28.0,1584589295,1
adityashukla.co,3.0,2.0,0.0,43200,0
adme.ru,7.0,28.0,16.0,1611315099,1
