code;benign_ratio;malicious_ratio;benign;malicious;total
14061;0.7891156462585034;0.2108843537414966;116;31;147
15169;0.9379583360373808;0.062041663962619245;14453;956;15409
16625;0.9422903516681695;0.057709648331830475;1045;64;1109
26496;0.5637583892617449;0.436241610738255;84;65;149
34119;0.0;1.0;0;2;2
46606;0.16981132075471697;0.8301886792452831;27;132;159
;0.9259259259259259;0.07407407407407407;125;10;135
20940;0.8929173693086003;0.10708263069139966;1059;127;1186
132644;0.2;0.8;1;4;5
35913;0.0;1.0;0;4;4
7552;0.0;1.0;0;1;1
14115;0.0;1.0;0;1;1
16509;0.9638427025600422;0.03615729743995777;3652;137;3789
54113;0.9538066723695466;0.046193327630453376;1115;54;1169
33438;0.6640926640926641;0.3359073359073359;172;87;259
13335;0.8903246139300347;0.10967538606996534;2825;348;3173
13649;0.6666666666666666;0.3333333333333333;2;1;3
15133;0.8836898395721925;0.1163101604278075;661;87;748
24323;0.0;1.0;0;2;2
48635;0.008333333333333333;0.9916666666666667;1;119;120
39729;0.25;0.75;2;6;8
198911;0.0;1.0;0;4;4
54290;0.4;0.6;2;3;5
42656;0.6666666666666666;0.3333333333333333;2;1;3
31621;0.75;0.25;3;1;4
16276;0.8490566037735849;0.1509433962264151;270;48;318
47583;0.0;1.0;0;8;8
20446;0.8754208754208754;0.12457912457912458;520;74;594
24940;0.9045454545454545;0.09545454545454546;199;21;220
51557;0.0;1.0;0;3;3
51852;0.6666666666666666;0.3333333333333333;2;1;3
45839;0.0;1.0;0;4;4
36352;0.08333333333333333;0.9166666666666666;1;11;12
12876;0.7872340425531915;0.2127659574468085;37;10;47
48287;0.09523809523809523;0.9047619047619048;2;19;21
15720;0.0;1.0;0;4;4
48910;0.3333333333333333;0.6666666666666666;1;2;3
51559;0.2;0.8;1;4;5
43317;0.2857142857142857;0.7142857142857143;2;5;7
714;0.029411764705882353;0.9705882352941176;1;33;34
17012;0.0;1.0;0;1;1
26347;0.8125;0.1875;13;3;16
12824;0.42857142857142855;0.5714285714285714;6;8;14
