code;benign_ratio;malicious_ratio;benign;malicious;total
11042;0.42857142857142855;0.5714285714285714;3;4;7
12824;0.3;0.7;3;7;10
12876;0.7857142857142857;0.21428571428571427;22;6;28
13238;0.9831932773109243;0.01680672268907563;234;4;238
13335;0.8920371275036639;0.1079628724963361;1826;221;2047
14061;0.7446808510638298;0.2553191489361702;70;24;94
14907;0.5555555555555556;0.4444444444444444;5;4;9
15133;0.8571428571428571;0.14285714285714285;408;68;476
15169;0.9381063251843229;0.06189367481567715;9670;638;10308
15224;0.9473684210526315;0.05263157894736842;72;4;76
15895;0.0;1.0;0;2;2
16276;0.7989690721649485;0.20103092783505155;155;39;194
16347;0.0;1.0;0;4;4
16509;0.9670020120724346;0.03299798792756539;2403;82;2485
16625;0.93296853625171;0.06703146374829001;682;49;731
17974;0.0;1.0;0;3;3
197695;0.25;0.75;3;9;12
198911;0.0;1.0;0;3;3
20446;0.8938547486033519;0.10614525139664804;320;38;358
204915;0.02564102564102564;0.9743589743589743;1;38;39
20940;0.8834355828220859;0.1165644171779141;720;95;815
22612;0.26666666666666666;0.7333333333333333;4;11;15
24323;0.0;1.0;0;3;3
24446;0.0;1.0;0;4;4
24940;0.9130434782608695;0.08695652173913043;147;14;161
26496;0.504950495049505;0.49504950495049505;51;50;101
29119;0.0;1.0;0;4;4
30633;0.7142857142857143;0.2857142857142857;5;2;7
31621;0.0;1.0;0;2;2
32244;0.6363636363636364;0.36363636363636365;21;12;33
32475;0.52;0.48;13;12;25
32934;0.9725058915946583;0.02749410840534171;1238;35;1273
33438;0.7126436781609196;0.28735632183908044;124;50;174
34119;0.0;1.0;0;3;3
35913;0.0;1.0;0;3;3
393398;0.0;1.0;0;2;2
40027;0.0;1.0;0;7;7
40034;0.1;0.9;2;18;20
40824;0.6;0.4;3;2;5
42655;0.0;1.0;0;1;1
42656;0.5;0.5;1;1;2
43317;0.3333333333333333;0.6666666666666666;2;4;6
45102;0.86;0.14;43;7;50
45996;0.0;1.0;0;3;3
46606;0.20634920634920634;0.7936507936507936;26;100;126
47583;0.0;1.0;0;6;6
48287;0.0;1.0;0;12;12
4830;0.0;1.0;0;2;2
48505;0.3333333333333333;0.6666666666666666;1;2;3
48635;0.0;1.0;0;71;71
48666;0.25;0.75;1;3;4
49335;0.5;0.5;1;1;2
51557;0.0;1.0;0;2;2
51852;0.75;0.25;3;1;4
52368;0.0;1.0;0;1;1
54113;0.9557522123893806;0.04424778761061947;756;35;791
54290;0.0;1.0;0;4;4
60626;0.25;0.75;1;3;4
714;0.14705882352941177;0.8529411764705882;5;29;34
8560;0.6857142857142857;0.3142857142857143;24;11;35
10929;0.5;0.5;2;2;4
15720;0.0;1.0;0;4;4
17054;0.0;1.0;0;2;2
2044;0.8888888888888888;0.1111111111111111;8;1;9
24592;0.3333333333333333;0.6666666666666666;1;2;3
33182;0.3333333333333333;0.6666666666666666;2;4;6
395082;0.6;0.4;3;2;5
48910;0.0;1.0;0;2;2
53057;0.0;1.0;0;4;4
55002;0.0;1.0;0;4;4
55410;0.0;1.0;0;1;1
62856;0.0;1.0;0;1;1
