code;benign_ratio;malicious_ratio;benign;malicious;total
;0.9746835443037974;0.02531645569620253;154;4;158
AF;1.0;0.0;1;0;1
AL;1.0;0.0;2;0;2
AR;1.0;0.0;1;0;1
AT;1.0;0.0;8;0;8
AU;0.8181818181818182;0.18181818181818182;9;2;11
AZ;1.0;0.0;2;0;2
BD;0.0;1.0;0;2;2
BE;0.9308755760368663;0.06912442396313365;202;15;217
BG;0.8;0.2;4;1;5
BR;0.8571428571428571;0.14285714285714285;12;2;14
BZ;0.0;1.0;0;1;1
CA;0.925;0.075;37;3;40
CH;1.0;0.0;12;0;12
CN;0.9791666666666666;0.020833333333333332;94;2;96
CO;1.0;0.0;2;0;2
CY;1.0;0.0;2;0;2
CZ;1.0;0.0;29;0;29
DE;0.9264957264957265;0.0735042735042735;542;43;585
DK;1.0;0.0;21;0;21
EG;0.0;1.0;0;1;1
ES;0.5;0.5;4;4;8
EU;0.8025751072961373;0.19742489270386265;187;46;233
FI;1.0;0.0;4;0;4
FR;0.8877551020408163;0.11224489795918367;174;22;196
GB;0.9363636363636364;0.06363636363636363;103;7;110
GE;0.0;1.0;0;2;2
GR;1.0;0.0;1;0;1
HK;0.75;0.25;12;4;16
HR;1.0;0.0;2;0;2
HU;1.0;0.0;9;0;9
ID;0.5555555555555556;0.4444444444444444;5;4;9
IE;0.9743589743589743;0.02564102564102564;228;6;234
IL;1.0;0.0;5;0;5
IN;0.8888888888888888;0.1111111111111111;16;2;18
IR;0.9523809523809523;0.047619047619047616;20;1;21
IT;0.6521739130434783;0.34782608695652173;15;8;23
JP;0.9629629629629629;0.037037037037037035;26;1;27
KR;0.9736842105263158;0.02631578947368421;37;1;38
LT;0.07692307692307693;0.9230769230769231;1;12;13
LU;1.0;0.0;4;0;4
LV;1.0;0.0;6;0;6
MK;1.0;0.0;1;0;1
MY;0.0;1.0;0;2;2
NL;0.7916666666666666;0.20833333333333334;228;60;288
NO;1.0;0.0;1;0;1
PL;0.8333333333333334;0.16666666666666666;25;5;30
PT;1.0;0.0;4;0;4
RO;0.0;1.0;0;2;2
RU;0.9003831417624522;0.09961685823754789;235;26;261
SA;1.0;0.0;1;0;1
SC;1.0;0.0;1;0;1
SE;0.8;0.2;8;2;10
SG;0.7857142857142857;0.21428571428571427;11;3;14
SK;1.0;0.0;4;0;4
TH;1.0;0.0;2;0;2
TR;0.6666666666666666;0.3333333333333333;14;7;21
TW;1.0;0.0;26;0;26
UA;0.9090909090909091;0.09090909090909091;10;1;11
US;0.8936505160048976;0.10634948399510233;5109;608;5717
VG;0.0;1.0;0;10;10
VN;0.8947368421052632;0.10526315789473684;17;2;19
ZA;0.0;1.0;0;1;1
