code;benign_ratio;malicious_ratio;total
395492;1.0;0.0;9
31815;1.0;0.0;2
43350;1.0;0.0;20
210329;1.0;0.0;20
1280;1.0;0.0;11
43939;1.0;0.0;12
45031;1.0;0.0;11
14340;1.0;0.0;22
29182;1.0;0.0;2
47846;0.23214285714285715;0.7678571428571429;56
30081;0.43333333333333335;0.5666666666666667;30
43407;1.0;0.0;45
12824;0.47058823529411764;0.5294117647058824;34
31242;1.0;0.0;12
59922;1.0;0.0;4
29522;1.0;0.0;4
43541;1.0;0.0;21
50599;1.0;0.0;4
18568;1.0;0.0;14
6724;1.0;0.0;19
24961;1.0;0.0;16
16378;1.0;0.0;3
200484;1.0;0.0;12
9498;1.0;0.0;11
26101;1.0;0.0;4
5602;1.0;0.0;11
13535;1.0;0.0;22
7162;1.0;0.0;22
15201;1.0;0.0;11
62729;0.5365853658536586;0.4634146341463415;41
8100;1.0;0.0;11
16245;1.0;0.0;12
50245;1.0;0.0;13
11810;1.0;0.0;9
34934;1.0;0.0;9
202095;1.0;0.0;1
26646;1.0;0.0;2
28855;1.0;0.0;12
46562;1.0;0.0;2
200083;1.0;0.0;7
31893;1.0;0.0;3
29222;0.21951219512195122;0.7804878048780488;41
15703;1.0;0.0;8
21155;0.2;0.8;20
13213;1.0;0.0;12
17661;1.0;0.0;10
9371;0.4;0.6;30
2514;1.0;0.0;10
38631;1.0;0.0;12
33517;1.0;0.0;19
16138;1.0;0.0;22
53824;1.0;0.0;9
42612;1.0;0.0;42
44889;0.05263157894736842;0.9473684210526315;19
37153;1.0;0.0;12
43424;1.0;0.0;6
35717;1.0;0.0;3
22300;1.0;0.0;3
32286;1.0;0.0;6
47043;1.0;0.0;12
2639;0.45454545454545453;0.5454545454545454;110
20473;0.1;0.9;20
51167;0.3333333333333333;0.6666666666666666;24
23404;1.0;0.0;8
7018;1.0;0.0;16
30354;1.0;0.0;2
3242;1.0;0.0;2
59871;1.0;0.0;26
57235;1.0;0.0;2
41881;1.0;0.0;3
14361;1.0;0.0;4
44932;1.0;0.0;2
24985;1.0;0.0;2
6354;1.0;0.0;48
16844;1.0;0.0;9
20756;1.0;0.0;4
50926;1.0;0.0;4
51540;1.0;0.0;1
22904;1.0;0.0;2
29066;1.0;0.0;3
22552;0.11764705882352941;0.8823529411764706;17
16814;1.0;0.0;9
46089;1.0;0.0;4
7160;0.5;0.5;4
209;1.0;0.0;1
18779;1.0;0.0;1
63210;1.0;0.0;6
22822;1.0;0.0;4
61317;1.0;0.0;2
23620;1.0;0.0;2
23637;1.0;0.0;10
7684;1.0;0.0;4
9370;1.0;0.0;2
2527;1.0;0.0;2
17941;1.0;0.0;2
49770;1.0;0.0;2
2519;1.0;0.0;4
2914;1.0;0.0;3
39392;1.0;0.0;8
50941;1.0;0.0;6
29028;1.0;0.0;11
34282;1.0;0.0;9
20694;1.0;0.0;4
42473;1.0;0.0;4
198610;1.0;0.0;4
24768;1.0;0.0;10
9924;1.0;0.0;5
21260;1.0;0.0;10
14173;1.0;0.0;12
53292;1.0;0.0;1
133380;1.0;0.0;11
46312;1.0;0.0;12
30419;1.0;0.0;14
21245;1.0;0.0;2
7349;1.0;0.0;14
61173;1.0;0.0;2
54641;0.07692307692307693;0.9230769230769231;13
43037;1.0;0.0;16
31898;1.0;0.0;2
205675;1.0;0.0;11
58469;1.0;0.0;2
198785;1.0;0.0;7
204213;1.0;0.0;1
209929;1.0;0.0;13
56464;1.0;0.0;12
13897;1.0;0.0;12
33419;1.0;0.0;28
36062;1.0;0.0;24
40009;1.0;0.0;11
35908;0.45161290322580644;0.5483870967741935;31
204074;1.0;0.0;3
41041;1.0;0.0;17
7415;1.0;0.0;36
1828;1.0;0.0;12
11042;0.25;0.75;8
38496;1.0;0.0;1
55660;1.0;0.0;1
40676;0.19047619047619047;0.8095238095238095;21
23636;1.0;0.0;2
26120;1.0;0.0;2
56396;1.0;0.0;2
47328;1.0;0.0;3
15685;1.0;0.0;22
24931;1.0;0.0;12
7922;1.0;0.0;8
62214;1.0;0.0;7
1273;0.42857142857142855;0.5714285714285714;28
24429;0.42857142857142855;0.5714285714285714;28
15395;1.0;0.0;12
44485;1.0;0.0;12
48918;1.0;0.0;30
38731;1.0;0.0;13
58152;1.0;0.0;8
394695;0.08108108108108109;0.918918918918919;37
31229;1.0;0.0;4
36647;1.0;0.0;1
8928;1.0;0.0;3
205316;1.0;0.0;2
12565;1.0;0.0;39
197019;1.0;0.0;7
3301;1.0;0.0;14
34587;1.0;0.0;14
20773;1.0;0.0;16
12129;1.0;0.0;3
34788;0.2;0.8;20
55992;1.0;0.0;2
137687;1.0;0.0;2
36064;1.0;0.0;4
16150;1.0;0.0;2
27257;0.0273972602739726;0.9726027397260274;73
10929;1.0;0.0;13
54489;1.0;0.0;2
49694;1.0;0.0;8
51954;1.0;0.0;5
4134;0.6521739130434783;0.34782608695652173;46
4808;0.5405405405405406;0.4594594594594595;37
38955;1.0;0.0;8
11054;1.0;0.0;36
23576;1.0;0.0;4
133296;0.6;0.4;5
21371;1.0;0.0;1
204915;0.0;1.0;409
33322;0.0;1.0;18
17054;0.0;1.0;50
4766;0.0;1.0;18
32097;0.0;1.0;17
8553;0.0;1.0;18
206819;0.0;1.0;38
3462;0.0;1.0;38
60976;0.0;1.0;18
60631;0.0;1.0;18
60458;0.0;1.0;1
58889;0.0;1.0;18
132839;0.0;1.0;18
14935;0.0;1.0;18
34119;0.0;1.0;35
44136;0.0;1.0;17
23947;0.0;1.0;17
9304;0.0;1.0;17
8426;0.0;1.0;32
63068;0.0;1.0;16
3257;0.0;1.0;17
26658;0.0;1.0;17
30447;0.0;1.0;17
34081;0.0;1.0;16
197712;0.0;1.0;17
134705;0.0;1.0;17
36454;0.0;1.0;17
134548;0.0;1.0;17
10242;0.0;1.0;15
29802;0.0;1.0;16
55002;0.0;1.0;17
49699;0.0;1.0;16
8542;0.0;1.0;17
15895;0.0;1.0;17
197540;0.0;1.0;17
45899;0.0;1.0;17
59674;0.0;1.0;17
48666;0.0;1.0;17
55803;0.0;1.0;17
395082;0.0;1.0;16
48896;0.0;1.0;15
1759;0.0;1.0;16
33182;0.0;1.0;16
39020;0.0;1.0;16
39729;0.0;1.0;32
12874;0.0;1.0;16
14858;0.0;1.0;16
30083;0.0;1.0;22
31798;0.0;1.0;16
64315;0.0;1.0;16
45634;0.0;1.0;16
48635;0.0;1.0;23
26202;0.0;1.0;16
63410;0.0;1.0;23
59980;0.0;1.0;16
56110;0.0;1.0;13
15348;0.0;1.0;15
36352;0.0;1.0;22
45815;0.0;1.0;15
15299;0.0;1.0;30
19318;0.0;1.0;15
29169;0.0;1.0;15
46844;0.0;1.0;15
38365;0.0;1.0;15
31083;0.0;1.0;14
50673;0.0;1.0;6
52420;0.0;1.0;6
32491;0.0;1.0;6
15244;0.0;1.0;2
47583;0.0;1.0;11
45753;0.0;1.0;2
28110;0.0;1.0;6
197068;0.0;1.0;2
3549;0.0;1.0;8
20248;0.0;1.0;1
132721;0.0;1.0;1
28299;0.0;1.0;7
50152;0.0;1.0;7
40244;0.0;1.0;7
55293;0.0;1.0;4
198047;0.0;1.0;2
45903;0.0;1.0;2
63760;0.0;1.0;2
18403;0.0;1.0;2
42055;0.0;1.0;1
58621;0.0;1.0;1
34619;0.0;1.0;1
